,date,state,cases_new,cases_recovered,cases_active,cases_unvax,cases_pvax,cases_fvax,cases_0_4,cases_5_11,cases_12_17,cases_18_29,cases_30_39,cases_40_49,cases_50_59,cases_60_69,cases_70_79,cases_80,daily_partial,daily,admitted_covid_hospital,admitted_total_hospital,discharged_covid_hospital,discharged_total_hospital,hosp_covid_hospital,icu_covid,vent_covid,cases_new_capita
0,2020-01-25,Johor,4,0,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,6.0,11.0,5.0,9.0,28.0,2.0,1.0,1.0542406831479628e-06
1,2020-01-25,Kedah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,6.0,11.0,5.0,9.0,28.0,2.0,1.0,0.0
2,2020-01-25,Kelantan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,6.0,11.0,5.0,9.0,28.0,2.0,1.0,0.0
3,2020-01-25,Melaka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,6.0,11.0,5.0,9.0,28.0,2.0,1.0,0.0
4,2020-01-25,Negeri Sembilan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,6.0,11.0,5.0,9.0,28.0,2.0,1.0,0.0
5,2020-01-25,Pahang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,6.0,11.0,5.0,9.0,28.0,2.0,1.0,0.0
6,2020-01-25,Perak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,6.0,11.0,5.0,9.0,28.0,2.0,1.0,0.0
7,2020-01-25,Perlis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,6.0,11.0,5.0,9.0,28.0,2.0,1.0,0.0
8,2020-01-25,Pulau Pinang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,6.0,11.0,5.0,9.0,28.0,2.0,1.0,0.0
9,2020-01-25,Sabah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,6.0,11.0,5.0,9.0,28.0,2.0,1.0,0.0
10,2020-01-25,Sarawak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,6.0,11.0,5.0,9.0,28.0,2.0,1.0,0.0
